id,label,source,text,pattern_tags,notes
S00982,scam,news_sample,Someone sent you INR 199. Accept collect request at collect92@upi to receive funds.,collect_request,
S00084,scam,honeypot,Someone sent you INR 1500. Accept collect request at refund29@upi to receive funds.,refund_scam|collect_request,
S00923,scam,honeypot,Your payment failed. Retry here: http://refund-now.in/a4klni and enter the OTP to complete.,phishing_link|refund_scam|otp_request,
L00100,legit,payment_app,You have received INR 12345 from Vijay into your UPI ID pay81@upi.,,
S00180,scam,synthetic,Congrats! You've won cashback INR 100. Click http://bit.ly/urcman to claim now.,phishing_link,
L00965,legit,payment_app,Payment of INR 999 to BookMyShow using UPI was successful. Txn ID: RL7GJCML88.,reference,
L00793,legit,merchant_txn,"Dear Customer, your bill of INR 999 for Gas is due on 5/7/2025. Pay at: http://bit.ly/sea1af",,
L00030,legit,payment_app,Your KYC for Electricity is completed successfully.,,
L00629,legit,govt_service,"Alert: A login to your netbanking from new device on 28/5/2025. If not you, call +916924624754.",,
L00945,legit,govt_service,Your a/c ending XXXX0879 is debited by INR 100 on 23/2/2025. Avl bal: INR 75096.,txn|balance,
L00573,legit,bank_dlt_template,Your KYC for Gas is completed successfully.,,
L00908,legit,merchant_txn,Your account XXXX4880 has been credited with INR 5000 by NEFT. Ref: 70LGRPZRXE.,txn|reference,
S00081,scam,honeypot,Congrats! You've won cashback INR 1500. Click http://secure-pay.in/ilgk0x to claim now.,phishing_link,
L00451,legit,govt_service,You have received INR 100 from Ramesh into your UPI ID refund78@upi.,reference,
S00610,scam,news_sample,Install this app http://bit.ly/dvrfus to get a refund from Zomato.,phishing_link|refund_scam,
S00291,scam,news_sample,Pay INR 999 as token to release your prize. Pay here: http://bit.ly/tiks4e,phishing_link,
S00079,scam,synthetic,Someone sent you INR 5000. Accept collect request at id86@upi to receive funds.,collect_request,
L00255,legit,govt_service,Payment of INR 5000 to SBI using UPI was successful. Txn ID: VTKH861PQI.,reference,
L00125,legit,bank_dlt_template,"Dear Customer, your bill of INR 499 for Internet is due on 23/5/2025. Pay at: http://refund-now.in/uwolkg",reference,
S00928,scam,news_sample,This is Support from Axis Bank. Send me the OTP you received to approve payment.,,
L00252,legit,bank_dlt_template,Your KYC for Gas is completed successfully.,,
L00586,legit,govt_service,"Alert: A login to your netbanking from new device on 14/12/2025. If not you, call +917217021963.",,
S00569,scam,honeypot,This is Admin from Amazon. Send me the OTP you received to approve payment.,,
L00825,legit,payment_app,Your ECS mandate for INR 250 with PaytmMall is registered. Mandate ID: UEY6EMDF3J.,,
L00508,legit,govt_service,You have received INR 12345 from Ramesh into your UPI ID id77@upi.,,
L00890,legit,payment_app,Your ECS mandate for INR 5000 with Zomato is registered. Mandate ID: RUDBRSIV34.,,
L00071,legit,govt_service,Your OTP for transaction of INR 250 at Flipkart is 950069. Do not share it with anyone.,otp,
S00609,scam,honeypot,Install this app http://refund-now.in/1fi14p to get a refund from PaytmMall.,phishing_link|refund_scam,
S00533,scam,news_sample,Congrats! You've won cashback INR 50. Click http://refund-now.in/dvatcu to claim now.,phishing_link|refund_scam,
L00248,legit,payment_app,Payment of INR 50 to Amazon using UPI was successful. Txn ID: T8PJ2JRIG5.,reference,
S00451,scam,synthetic,This is Support from Zomato. Send me the OTP you received to approve payment.,,
L00213,legit,govt_service,"Alert: A login to your netbanking from new device on 6/7/2025. If not you, call +910029915786.",,
L00910,legit,payment_app,You have received INR 5000 from Priya into your UPI ID refund71@upi.,reference,
S00742,scam,crowd_report,This is Admin from BookMyShow. Send me the OTP you received to approve payment.,,
S00245,scam,honeypot,Pay INR 999 as token to release your prize. Pay here: http://tinyurl.com/aojkv2,phishing_link,
S00697,scam,honeypot,Your payment failed. Retry here: http://secure-pay.in/ctwsrk and enter the OTP to complete.,phishing_link,
S00183,scam,synthetic,Congrats! You've won cashback INR 5000. Click http://refund-now.in/fm504j to claim now.,phishing_link|refund_scam,
L00362,legit,govt_service,Txn of INR 100 to Priya is successful. Ref: ITMAF9H3FH.,reference,
S00474,scam,synthetic,This is Admin from SBI. Send me the OTP you received to approve payment.,,
L00679,legit,bank_dlt_template,You have received INR 250 from Ramesh into your UPI ID refund46@upi.,reference,
S00622,scam,honeypot,Your UPI refund of INR 999 is pending. Enter OTP 117542 to confirm refund: http://bit.ly/1gkjia,phishing_link|refund_scam|otp_request,
S00090,scam,honeypot,Bank blocked your account. Call immediate on +914931644014 and share OTP to reactivate.,,
S00988,scam,synthetic,Pay INR 999 as token to release your prize. Pay here: http://tinyurl.com/2lmqv2,phishing_link,
S00848,scam,synthetic,Bank blocked your account. Call immediate on +916143573162 and share OTP to reactivate.,,
L00988,legit,merchant_txn,Your ECS mandate for INR 999 with Amazon is registered. Mandate ID: 5GHXCX8G4X.,,
S00513,scam,synthetic,Congrats! You've won cashback INR 499. Click http://tinyurl.com/b0kkkm to claim now.,phishing_link,
L00112,legit,bank_dlt_template,You have received INR 199 from Priya into your UPI ID id50@upi.,,
S00488,scam,synthetic,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
S00454,scam,crowd_report,Install this app http://bit.ly/omtrn1 to get a refund from BookMyShow.,phishing_link|refund_scam,
L00384,legit,merchant_txn,Your OTP for transaction of INR 50 at ICICI is 592932. Do not share it with anyone.,otp,
S00396,scam,synthetic,Someone sent you INR 499. Accept collect request at pay43@upi to receive funds.,collect_request,
S00055,scam,honeypot,Your payment failed. Retry here: http://tinyurl.com/kyhswm and enter the OTP to complete.,phishing_link,
L00756,legit,bank_dlt_template,Payment of INR 1500 to Flipkart using UPI was successful. Txn ID: 859TXADN2T.,reference,
L00325,legit,bank_dlt_template,Your KYC for Electricity is completed successfully.,,
S00624,scam,honeypot,Pay INR 499 as token to release your prize. Pay here: http://example.com/mmgjsa,phishing_link,
L00788,legit,merchant_txn,Your a/c ending XXXX1463 is debited by INR 100 on 16/9/2025. Avl bal: INR 90913.,txn|balance,
L00369,legit,merchant_txn,Payment of INR 250 to SBI using UPI was successful. Txn ID: 78LZGM8DTC.,reference,
S00820,scam,news_sample,Rs 100 credited. Please refund INR 937 to confirm identity: http://bit.ly/j2iq0e,phishing_link|refund_scam,
L00070,legit,merchant_txn,Your ECS mandate for INR 100 with BookMyShow is registered. Mandate ID: 7B7P0RNPM6.,,
L00858,legit,payment_app,Your a/c ending XXXX7182 is debited by INR 100 on 16/1/2025. Avl bal: INR 27509.,txn|balance,
S00484,scam,crowd_report,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
S00556,scam,news_sample,Bank blocked your account. Call immediate on +917663378798 and share OTP to reactivate.,,
S00692,scam,honeypot,Install this app http://bit.ly/hoa52i to get a refund from Axis Bank.,phishing_link|refund_scam,
S00475,scam,honeypot,Install this app http://tinyurl.com/lye0sl to get a refund from Amazon.,phishing_link|refund_scam,
S00799,scam,synthetic,Rs 199 credited. Please refund INR 1184 to confirm identity: http://secure-pay.in/n4yh0p,phishing_link|refund_scam,
L00479,legit,payment_app,Your KYC for Electricity is completed successfully.,,
L00282,legit,govt_service,Your account XXXX3192 has been credited with INR 50 by NEFT. Ref: 5Z08N10HLI.,txn|reference,
S00648,scam,news_sample,Pay INR 50 as token to release your prize. Pay here: http://refund-now.in/zu23xj,phishing_link|refund_scam,
S00557,scam,honeypot,Install this app http://tinyurl.com/4ipch1 to get a refund from BigBasket.,phishing_link|refund_scam,
S00730,scam,news_sample,Congrats! You've won cashback INR 1500. Click http://refund-now.in/ugbw34 to claim now.,phishing_link|refund_scam,
L00211,legit,govt_service,Your account XXXX5767 has been credited with INR 999 by NEFT. Ref: 6CP7SAVZEB.,txn|reference,
L00298,legit,govt_service,Your account XXXX0164 has been credited with INR 50 by NEFT. Ref: YDA9ALL2UN.,txn|reference,
S00885,scam,synthetic,Congrats! You've won cashback INR 50. Click http://refund-now.in/tlhah1 to claim now.,phishing_link|refund_scam,
S00834,scam,honeypot,Pay INR 100 as token to release your prize. Pay here: http://example.com/tfrtre,phishing_link,
L00652,legit,govt_service,You have received INR 1500 from Priya into your UPI ID collect24@upi.,,
S00234,scam,synthetic,Rs 1500 credited. Please refund INR 740 to confirm identity: http://bit.ly/m2oua2,phishing_link|refund_scam,
S00503,scam,news_sample,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
S00932,scam,crowd_report,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
L00917,legit,payment_app,"Alert: A login to your netbanking from new device on 26/7/2025. If not you, call +910470211842.",,
L00994,legit,payment_app,Txn of INR 250 to Rahul is successful. Ref: MTTTQWH40W.,reference,
L00430,legit,govt_service,Your ECS mandate for INR 199 with PaytmMall is registered. Mandate ID: 99FFZADVJF.,,
S00371,scam,news_sample,Bank blocked your account. Call immediate on +916057921912 and share OTP to reactivate.,,
L00240,legit,payment_app,Txn of INR 1500 to Rahul is successful. Ref: KEOUBXXQ6M.,reference,
L00880,legit,govt_service,"Dear Customer, your bill of INR 100 for Electricity is due on 28/9/2025. Pay at: http://refund-now.in/m2wskz",reference,
L00621,legit,merchant_txn,Txn of INR 999 to Asha is successful. Ref: LM2LW7ZRTQ.,reference,
L00257,legit,govt_service,Your a/c ending XXXX7707 is debited by INR 499 on 18/10/2025. Avl bal: INR 20002.,txn|balance,
L00612,legit,govt_service,Your account XXXX2568 has been credited with INR 199 by NEFT. Ref: 53ALJD70Y6.,txn|reference,
L00545,legit,bank_dlt_template,Your KYC for Gas is completed successfully.,,
L00772,legit,payment_app,Txn of INR 499 to Priya is successful. Ref: YHXHI7CYRB.,reference,
S00420,scam,honeypot,Install this app http://example.com/3ztox3 to get a refund from Flipkart.,phishing_link|refund_scam,
S00042,scam,news_sample,Pay INR 999 as token to release your prize. Pay here: http://secure-pay.in/3r0upp,phishing_link,
S00790,scam,synthetic,Rs 100 credited. Please refund INR 12927 to confirm identity: http://refund-now.in/zvq1f1,phishing_link|refund_scam,
L00760,legit,payment_app,You have received INR 1500 from Rahul into your UPI ID refund62@upi.,reference,
L00383,legit,govt_service,Your ECS mandate for INR 250 with BookMyShow is registered. Mandate ID: MIT72723BA.,,
S00104,scam,honeypot,This is Support from ICICI. Send me the OTP you received to approve payment.,,
L00974,legit,bank_dlt_template,"Dear Customer, your bill of INR 50 for Mobile is due on 14/2/2025. Pay at: http://secure-pay.in/eg3zml",,
L00353,legit,bank_dlt_template,Payment of INR 5000 to BigBasket using UPI was successful. Txn ID: XZA43HOLDU.,reference,
S00606,scam,crowd_report,Bank blocked your account. Call immediate on +911324945079 and share OTP to reactivate.,,
S00826,scam,honeypot,Bank blocked your account. Call immediate on +915216245718 and share OTP to reactivate.,,
S00037,scam,honeypot,Someone sent you INR 5000. Accept collect request at collect71@upi to receive funds.,collect_request,
S00108,scam,honeypot,Your payment failed. Retry here: http://tinyurl.com/gpqjp2 and enter the OTP to complete.,phishing_link,
L00495,legit,govt_service,Your account XXXX5315 has been credited with INR 12345 by NEFT. Ref: T3T9LP2E2A.,txn|reference,
L00394,legit,merchant_txn,You have received INR 499 from Vijay into your UPI ID id15@upi.,,
S00547,scam,honeypot,Congrats! You've won cashback INR 50. Click http://bit.ly/w4hqbc to claim now.,phishing_link,
L00465,legit,merchant_txn,Your OTP for transaction of INR 499 at Zomato is 719338. Do not share it with anyone.,otp,
L00887,legit,bank_dlt_template,Your a/c ending XXXX3325 is debited by INR 50 on 25/1/2025. Avl bal: INR 74163.,txn|balance,
S00194,scam,synthetic,Rs 999 credited. Please refund INR 1003 to confirm identity: http://secure-pay.in/rfkwjk,phishing_link|refund_scam,
L00367,legit,govt_service,Txn of INR 250 to Vijay is successful. Ref: FV14J643F1.,reference,
S00894,scam,synthetic,Pay INR 999 as token to release your prize. Pay here: http://example.com/w22elq,phishing_link,
S00874,scam,crowd_report,Pay INR 100 as token to release your prize. Pay here: http://bit.ly/ualemc,phishing_link,
L00745,legit,merchant_txn,Your KYC for Mobile is completed successfully.,,
L00530,legit,govt_service,Your KYC for Electricity is completed successfully.,,
L00803,legit,merchant_txn,"Dear Customer, your bill of INR 999 for Gas is due on 27/4/2025. Pay at: http://secure-pay.in/znaim0",,
S00224,scam,crowd_report,Install this app http://bit.ly/qkhoab to get a refund from Flipkart.,phishing_link|refund_scam,
S00979,scam,news_sample,This is Admin from BigBasket. Send me the OTP you received to approve payment.,,
S00906,scam,synthetic,Someone sent you INR 250. Accept collect request at collect41@upi to receive funds.,collect_request,
S00700,scam,news_sample,Congrats! You've won cashback INR 5000. Click http://example.com/wghas1 to claim now.,phishing_link,
S00545,scam,synthetic,This is CustomerCare from Amazon. Send me the OTP you received to approve payment.,,
S00314,scam,honeypot,This is Support from Amazon. Send me the OTP you received to approve payment.,,
L00307,legit,merchant_txn,Txn of INR 5000 to Rahul is successful. Ref: ENNGAY37VG.,reference,
S00667,scam,news_sample,Pay INR 250 as token to release your prize. Pay here: http://refund-now.in/mmenre,phishing_link|refund_scam,
L00863,legit,govt_service,Payment of INR 499 to BigBasket using UPI was successful. Txn ID: Q2XAQGSAIX.,reference,
S00567,scam,crowd_report,Rs 50 credited. Please refund INR 452 to confirm identity: http://secure-pay.in/psxh4u,phishing_link|refund_scam,
L00531,legit,merchant_txn,Your OTP for transaction of INR 100 at SBI is 797290. Do not share it with anyone.,otp,
L00655,legit,merchant_txn,Payment of INR 5000 to SBI using UPI was successful. Txn ID: AHNYRVFONT.,reference,
S00260,scam,synthetic,Your payment failed. Retry here: http://bit.ly/44gjky and enter the OTP to complete.,phishing_link,
L00234,legit,payment_app,You have received INR 100 from Rahul into your UPI ID collect70@upi.,,
L00121,legit,bank_dlt_template,Your KYC for Internet is completed successfully.,,
S00698,scam,crowd_report,Install this app http://tinyurl.com/yvw243 to get a refund from Zomato.,phishing_link|refund_scam,
L00950,legit,bank_dlt_template,Your account XXXX6788 has been credited with INR 100 by NEFT. Ref: MOETO04TFR.,txn|reference,
L00618,legit,govt_service,Your KYC for Electricity is completed successfully.,,
S00179,scam,news_sample,Congrats! You've won cashback INR 499. Click http://bit.ly/nbvzvx to claim now.,phishing_link,
L00308,legit,bank_dlt_template,Your account XXXX0890 has been credited with INR 5000 by NEFT. Ref: XZJ9MJ9XXL.,txn|reference,
L00136,legit,bank_dlt_template,Your KYC for Electricity is completed successfully.,,
L00555,legit,payment_app,You have received INR 12345 from Rahul into your UPI ID collect80@upi.,,
S00674,scam,synthetic,Bank blocked your account. Call immediate on +913984418618 and share OTP to reactivate.,,
L00584,legit,merchant_txn,"Dear Customer, your bill of INR 250 for Electricity is due on 11/9/2025. Pay at: http://secure-pay.in/tyvv0y",,
S00641,scam,honeypot,Your UPI refund of INR 50 is pending. Enter OTP 518345 to confirm refund: http://refund-now.in/rcrucv,phishing_link|refund_scam|otp_request,
L00671,legit,bank_dlt_template,"Dear Customer, your bill of INR 1500 for Mobile is due on 20/5/2025. Pay at: http://tinyurl.com/a2vv2u",,
L00835,legit,bank_dlt_template,"Dear Customer, your bill of INR 12345 for Gas is due on 19/6/2025. Pay at: http://example.com/cfk0rj",,
L00110,legit,merchant_txn,Your ECS mandate for INR 199 with Axis Bank is registered. Mandate ID: 0J36TCFKJN.,,
S00165,scam,crowd_report,Rs 50 credited. Please refund INR 1053 to confirm identity: http://tinyurl.com/dkbf3r,phishing_link|refund_scam,
S00960,scam,honeypot,Install this app http://refund-now.in/5pdcf1 to get a refund from Axis Bank.,phishing_link|refund_scam,
S00465,scam,news_sample,Congrats! You've won cashback INR 199. Click http://bit.ly/v2fpl2 to claim now.,phishing_link,
S00729,scam,crowd_report,Install this app http://secure-pay.in/rjpbvn to get a refund from BookMyShow.,phishing_link|refund_scam,
S00243,scam,synthetic,Congrats! You've won cashback INR 1500. Click http://tinyurl.com/5r4xqs to claim now.,phishing_link,
L00212,legit,govt_service,Payment of INR 50 to PaytmMall using UPI was successful. Txn ID: J2XI3TAMVN.,reference,
S00768,scam,synthetic,Someone sent you INR 12345. Accept collect request at id93@upi to receive funds.,collect_request,
S00121,scam,honeypot,Your payment failed. Retry here: http://bit.ly/wplrxl and enter the OTP to complete.,phishing_link,
L00680,legit,payment_app,Your ECS mandate for INR 100 with BigBasket is registered. Mandate ID: LBIMNZ9B9B.,,
S00951,scam,honeypot,Bank blocked your account. Call immediate on +914457157332 and share OTP to reactivate.,,
S00839,scam,crowd_report,Install this app http://refund-now.in/3vpmpl to get a refund from Axis Bank.,phishing_link|refund_scam,
L00412,legit,bank_dlt_template,Your a/c ending XXXX0415 is debited by INR 5000 on 23/5/2025. Avl bal: INR 39365.,txn|balance,
S00325,scam,news_sample,Congrats! You've won cashback INR 12345. Click http://bit.ly/yqhus5 to claim now.,phishing_link,
L00783,legit,bank_dlt_template,Your a/c ending XXXX1054 is debited by INR 100 on 8/1/2025. Avl bal: INR 56721.,txn|balance,
S00346,scam,honeypot,Pay INR 100 as token to release your prize. Pay here: http://secure-pay.in/vb3x2p,phishing_link,
L00875,legit,payment_app,You have received INR 5000 from Asha into your UPI ID refund93@upi.,reference,
S00653,scam,honeypot,Your UPI refund of INR 199 is pending. Enter OTP 195955 to confirm refund: http://bit.ly/orchnm,phishing_link|refund_scam|otp_request,
S00279,scam,synthetic,Congrats! You've won cashback INR 250. Click http://bit.ly/ieo5qt to claim now.,phishing_link,
L00786,legit,govt_service,Your OTP for transaction of INR 12345 at SBI is 335745. Do not share it with anyone.,otp,
S00819,scam,synthetic,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
S00199,scam,news_sample,Rs 199 credited. Please refund INR 887 to confirm identity: http://refund-now.in/j0hktq,phishing_link|refund_scam,
L00808,legit,govt_service,"Alert: A login to your netbanking from new device on 17/8/2025. If not you, call +916399948628.",,
L00713,legit,payment_app,Your OTP for transaction of INR 999 at BigBasket is 280839. Do not share it with anyone.,otp,
S00991,scam,crowd_report,Rs 1500 credited. Please refund INR 616 to confirm identity: http://refund-now.in/e4r0jh,phishing_link|refund_scam,
S00660,scam,honeypot,Pay INR 100 as token to release your prize. Pay here: http://bit.ly/ukj1r1,phishing_link,
S00191,scam,crowd_report,Someone sent you INR 199. Accept collect request at id54@upi to receive funds.,collect_request,
S00226,scam,synthetic,Your payment failed. Retry here: http://example.com/qmnec1 and enter the OTP to complete.,phishing_link,
L00603,legit,merchant_txn,"Dear Customer, your bill of INR 499 for Mobile is due on 17/10/2025. Pay at: http://secure-pay.in/kidrgb",,
L00271,legit,payment_app,Txn of INR 100 to Ramesh is successful. Ref: 9WT2YBUH7J.,reference,
S00385,scam,honeypot,Congrats! You've won cashback INR 100. Click http://secure-pay.in/4fatfv to claim now.,phishing_link,
L00232,legit,merchant_txn,Your ECS mandate for INR 100 with BigBasket is registered. Mandate ID: ZM4IX4ZCRH.,,
L00050,legit,payment_app,You have received INR 12345 from Priya into your UPI ID collect36@upi.,,
L00463,legit,merchant_txn,"Alert: A login to your netbanking from new device on 10/7/2025. If not you, call +919906519014.",,
S00106,scam,honeypot,Pay INR 50 as token to release your prize. Pay here: http://refund-now.in/mq2xm4,phishing_link|refund_scam,
L00856,legit,merchant_txn,"Alert: A login to your netbanking from new device on 4/9/2025. If not you, call +917117422804.",,
L00694,legit,payment_app,You have received INR 100 from Vijay into your UPI ID refund98@upi.,reference,
S00552,scam,news_sample,Your UPI refund of INR 499 is pending. Enter OTP 452516 to confirm refund: http://bit.ly/e2al5u,phishing_link|refund_scam|otp_request,
S00873,scam,news_sample,Your UPI refund of INR 999 is pending. Enter OTP 924025 to confirm refund: http://example.com/ge5d1n,phishing_link|refund_scam|otp_request,
L00527,legit,payment_app,Your OTP for transaction of INR 100 at Zomato is 831809. Do not share it with anyone.,otp,
L00174,legit,bank_dlt_template,Txn of INR 250 to Vijay is successful. Ref: VR1NECQORO.,reference,
L00721,legit,merchant_txn,"Alert: A login to your netbanking from new device on 22/8/2025. If not you, call +911725229437.",,
L00415,legit,govt_service,You have received INR 250 from Asha into your UPI ID id17@upi.,,
L00238,legit,payment_app,You have received INR 50 from Vijay into your UPI ID collect16@upi.,,
S00473,scam,honeypot,This is Support from BigBasket. Send me the OTP you received to approve payment.,,
S00336,scam,news_sample,Your UPI refund of INR 1500 is pending. Enter OTP 433059 to confirm refund: http://secure-pay.in/1wdnmn,phishing_link|refund_scam|otp_request,
S00064,scam,news_sample,Bank blocked your account. Call immediate on +916836321511 and share OTP to reactivate.,,
L00024,legit,govt_service,"Alert: A login to your netbanking from new device on 13/1/2025. If not you, call +914665891208.",,
S00767,scam,crowd_report,Rs 12345 credited. Please refund INR 1742 to confirm identity: http://tinyurl.com/toiqos,phishing_link|refund_scam,
L00064,legit,payment_app,Your KYC for Internet is completed successfully.,,
L00290,legit,payment_app,You have received INR 5000 from Priya into your UPI ID id28@upi.,,
L00189,legit,bank_dlt_template,Your OTP for transaction of INR 1500 at BigBasket is 565553. Do not share it with anyone.,otp,
L00702,legit,govt_service,Payment of INR 12345 to BookMyShow using UPI was successful. Txn ID: HVYPGQTDRK.,reference,
S00815,scam,news_sample,Congrats! You've won cashback INR 499. Click http://secure-pay.in/gvavue to claim now.,phishing_link,
S00138,scam,synthetic,Someone sent you INR 12345. Accept collect request at id92@upi to receive funds.,collect_request,
L00355,legit,bank_dlt_template,Your a/c ending XXXX0850 is debited by INR 250 on 18/9/2025. Avl bal: INR 11053.,txn|balance,
L00417,legit,merchant_txn,Your KYC for Electricity is completed successfully.,,
S00246,scam,honeypot,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
L00931,legit,bank_dlt_template,Your OTP for transaction of INR 1500 at Axis Bank is 939628. Do not share it with anyone.,otp,
L00197,legit,govt_service,Txn of INR 1500 to Rahul is successful. Ref: 0KHFSU4SE2.,reference,
L00580,legit,bank_dlt_template,Your OTP for transaction of INR 499 at Amazon is 910765. Do not share it with anyone.,otp,
S00135,scam,news_sample,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
S00814,scam,synthetic,Someone sent you INR 1500. Accept collect request at pay80@upi to receive funds.,collect_request,
S00935,scam,crowd_report,Pay INR 12345 as token to release your prize. Pay here: http://example.com/2gpczg,phishing_link,
L00434,legit,bank_dlt_template,Your OTP for transaction of INR 199 at ICICI is 688526. Do not share it with anyone.,otp,
L00101,legit,bank_dlt_template,Your KYC for Gas is completed successfully.,,
S00655,scam,synthetic,Your payment failed. Retry here: http://bit.ly/e3mh3p and enter the OTP to complete.,phishing_link,
L00395,legit,bank_dlt_template,Your KYC for Gas is completed successfully.,,
S00939,scam,synthetic,This is Admin from Amazon. Send me the OTP you received to approve payment.,,
L00221,legit,govt_service,"Alert: A login to your netbanking from new device on 3/4/2025. If not you, call +916345811193.",,
S00676,scam,honeypot,Install this app http://refund-now.in/qpxoo2 to get a refund from Zomato.,phishing_link|refund_scam,
S00498,scam,news_sample,Bank blocked your account. Call immediate on +914317886990 and share OTP to reactivate.,,
S00785,scam,honeypot,Your payment failed. Retry here: http://tinyurl.com/kt0o24 and enter the OTP to complete.,phishing_link,
L00345,legit,bank_dlt_template,Txn of INR 199 to Priya is successful. Ref: SYG91MMO1D.,reference,
S00028,scam,honeypot,Your UPI refund of INR 12345 is pending. Enter OTP 386126 to confirm refund: http://tinyurl.com/4ti2yr,phishing_link|refund_scam|otp_request,
L00889,legit,payment_app,Your OTP for transaction of INR 5000 at Amazon is 760129. Do not share it with anyone.,otp,
S00351,scam,crowd_report,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
L00553,legit,bank_dlt_template,Your OTP for transaction of INR 250 at Amazon is 451813. Do not share it with anyone.,otp,
L00744,legit,govt_service,You have received INR 499 from Ramesh into your UPI ID collect14@upi.,,
S00542,scam,honeypot,Bank blocked your account. Call immediate on +915661440454 and share OTP to reactivate.,,
L00539,legit,govt_service,"Dear Customer, your bill of INR 5000 for Gas is due on 7/1/2025. Pay at: http://bit.ly/tmnnce",,
L00907,legit,payment_app,"Alert: A login to your netbanking from new device on 12/11/2025. If not you, call +915772926871.",,
S00395,scam,synthetic,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
L00116,legit,govt_service,"Dear Customer, your bill of INR 100 for Internet is due on 11/8/2025. Pay at: http://tinyurl.com/e2vcm4",,
L00830,legit,bank_dlt_template,Your KYC for Electricity is completed successfully.,,
S00938,scam,news_sample,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
L00809,legit,bank_dlt_template,Your OTP for transaction of INR 100 at ICICI is 235170. Do not share it with anyone.,otp,
S00311,scam,synthetic,We detected unauthorised activity. Share your UPI PIN to secure your account.,,
S00005,scam,honeypot,This is CustomerCare from Flipkart. Send me the OTP you received to approve payment.,,
L00306,legit,merchant_txn,Payment of INR 5000 to BookMyShow using UPI was successful. Txn ID: TWBDCA75LD.,reference,
S00101,scam,crowd_report,Install this app http://secure-pay.in/wrzdmc to get a refund from ICICI.,phishing_link|refund_scam,
L00480,legit,govt_service,Your OTP for transaction of INR 100 at BigBasket is 986467. Do not share it with anyone.,otp,
S00424,scam,honeypot,Pay INR 499 as token to release your prize. Pay here: http://example.com/rqzmt1,phishing_link,
S00076,scam,news_sample,Bank blocked your account. Call immediate on +915121670014 and share OTP to reactivate.,,
L00571,legit,govt_service,Payment of INR 250 to BigBasket using UPI was successful. Txn ID: CMLZTI89UV.,reference,
L00619,legit,bank_dlt_template,Your KYC for Electricity is completed successfully.,,
