id,label,channel,category,text,pattern_source
S0035,scam,SMS,fake_bill_disconnection,Electricity Dept: Bill ₹20695 pending. Service will be disconnected tonight. Pay at http://pay-verify-upi.com,Fintech safety blog
S0036,scam,WhatsApp,refund_bait,Refund Dept: ₹149237 credited to your account by mistake. Approve reversal now via this request: http://pay-verify-upi.com,CERT-In advisory
S0037,scam,SMS,fake_bank_notice,SBI Notice: Confirm your details here: http://icici-verify.co.in.,News reports on UPI scams
S0038,scam,WhatsApp,refund_bait,Refund Dept: ₹114917 credited to your account by mistake. Approve reversal now via this request: http://pay-verify-upi.com,Paytm UPI Fraud Guide
S0039,scam,SMS,fake_support,Support Desk: We require confirmation. Click http://axisbank-alerts.net to confirm your identity.,News reports on UPI scams
S0040,scam,SMS,lottery,Congratulations! Govt prize of ₹65233 for you. Complete form at http://upi-helpdesk.support within 48 hrs.,NPCI Fraud Awareness
S0041,scam,SMS,fake_loan_fee,Pre-approved loan ₹114917. Disbursal in 5 mins after processing fee ₹1830. Pay at http://icici-verify.co.in,Paytm UPI Fraud Guide
S0042,scam,WhatsApp,overpayment,You have received ₹484. Please send back ₹46889 immediately by approving the UPI request from shopkeeper@okicici.,Paytm UPI Fraud Guide
S0043,scam,SMS,fake_app_update,Update required: Your UPI app version is outdated. Update now at http://axisbank-alerts.net to continue transactions.,News reports on UPI scams
S0044,scam,SMS,call_merge_otp,"To cancel unauthorized charge, accept incoming verification call and provide OTP.",Fintech safety blog
S0045,scam,SMS,impersonation_police,Police Notice: Investigation ongoing. Transfer ₹1935 to avoid arrest.,Fintech safety blog
S0046,scam,SMS,fake_app_update,Critical update for HDFC app. Click http://govt-subsidy-claim.co.in to download secure patch.,CERT-In advisory
S0047,scam,WhatsApp,refund_bait,Refund Dept: ₹151100 credited to your account by mistake. Approve reversal now via this request: http://icici-verify.co.in,News reports on UPI scams
S0048,scam,WhatsApp,fake_payment_screenshot,Payment done. UPI Ref 2754894. Screenshot attached. Release goods.,News reports on UPI scams
S0049,scam,WhatsApp,overpayment,"Hi, I accidentally sent ₹347 to you. Please accept the payment and return ₹41925 by approving the request.",CERT-In advisory
S0050,scam,WhatsApp,fake_merchant_payment,Merchant: Paid ₹139283 to your UPI. Approve reversal request.,News reports on UPI scams
S0051,scam,SMS,fake_bill_disconnection,Electricity Dept: Bill ₹145741 pending. Service will be disconnected tonight. Pay at http://phonepe-cashback-claim.co,CERT-In advisory
S0052,scam,SMS,fake_support,Support Desk: We require confirmation. Click http://hdfc-kyc-update.com to confirm your identity.,RBI Cautions
S0053,scam,SMS,vishing_text,Bank Security: We will call to verify. Keep your OTP handy to cancel fraudulent transaction.,Paytm UPI Fraud Guide
S0054,scam,SMS,fake_app_update,Update required: Your UPI app version is outdated. Update now at http://axisbank-alerts.net to continue transactions.,NPCI Fraud Awareness
S0055,scam,WhatsApp,fake_payment_screenshot,See attached receipt: Transaction ID 9106886. Funds sent.,News reports on UPI scams
S0056,scam,SMS,vishing_text,Bank Security: We will call to verify. Keep your OTP handy to cancel fraudulent transaction.,Razorpay Fake Payment Guide
S0057,scam,SMS,fake_app_update,Critical update for Axis Bank app. Click http://axisbank-alerts.net to download secure patch.,CERT-In advisory
S0058,scam,SMS,impersonation_police,Police Notice: Investigation ongoing. Transfer ₹34772 to avoid arrest.,Razorpay Fake Payment Guide
S0059,scam,SMS,call_merge_otp,"Security Alert: We will merge a verification call. When prompted, share OTP to confirm cancellation.",Razorpay Fake Payment Guide
S0060,scam,SMS,fake_app_update,Critical update for Federal Bank app. Click http://upi-secure-help.in to download secure patch.,Paytm UPI Fraud Guide
S0061,scam,SMS,vishing_text,Your card is blocked. Call back +91-XXXXXXXXXX to reactivate. Share OTP to verify.,RBI Cautions
S0062,scam,SMS,vishing_text,Your card is blocked. Call back +91-XXXXXXXXXX to reactivate. Share OTP to verify.,News reports on UPI scams
S0063,scam,SMS,vishing_text,Bank Security: We will call to verify. Keep your OTP handy to cancel fraudulent transaction.,News reports on UPI scams
S0064,scam,SMS,fake_reward,Loyalty Bonus ₹55148 added. Visit http://upi-secure-help.in to redeem.,News reports on UPI scams
S0065,scam,WhatsApp,fake_payment_screenshot,Payment done. UPI Ref 7435505. Screenshot attached. Release goods.,NPCI Fraud Awareness
S0066,scam,WhatsApp,fake_merchant_payment,Customer says payment done. Approve collect request to release order.,News reports on UPI scams
S0067,scam,SMS,lottery,RBI Lottery: You have won ₹26259. Pay registration fee ₹1513 to claim: http://lottery-claim-win.in,News reports on UPI scams
S0068,scam,SMS,fake_bank_notice,SBI Notice: Confirm your details here: http://upi-helpdesk.support.,Razorpay Fake Payment Guide
S0069,scam,SMS,vishing_text,Bank Security: We will call to verify. Keep your OTP handy to cancel fraudulent transaction.,Razorpay Fake Payment Guide
S0070,scam,SMS,fake_cashback,You have received ₹110643 cashback from PhonePe. Claim now: http://govt-subsidy-claim.co.in (valid 2 hrs),RBI Cautions
S0071,scam,SMS,impersonation_police,Police Notice: Investigation ongoing. Transfer ₹146170 to avoid arrest.,News reports on UPI scams
S0072,scam,SMS,fake_reward,Loyalty Bonus ₹78942 added. Visit http://pay-verify-upi.com to redeem.,Fintech safety blog
S0073,scam,WhatsApp,overpayment,You have received ₹255. Please send back ₹15023 immediately by approving the UPI request from foodcart@axis.,News reports on UPI scams
S0074,scam,SMS,fake_qr,Please scan this QR to receive your refund: http://paytm-verify-upi.in. Do not share PIN.,Fintech safety blog
S0075,scam,SMS,suspicious_login,ICICI Alert: Suspicious login detected on your UPI. Cancel transaction here: http://refund-claim.in. Ref: 5147994,News reports on UPI scams
S0076,scam,SMS,fake_govt_subsidy,PMAY Subsidy: ₹169442 approved. Click http://lottery-claim-win.in to accept.,NPCI Fraud Awareness
S0077,scam,WhatsApp,overpayment,"Hi, I accidentally sent ₹489 to you. Please accept the payment and return ₹3444 by approving the request.",CERT-In advisory
S0078,scam,SMS,fake_govt_subsidy,Govt Subsidy credited ₹65375. Claim at http://lottery-claim-win.in before deadline.,Paytm UPI Fraud Guide
S0079,scam,WhatsApp,fake_merchant_payment,Merchant: Paid ₹120715 to your UPI. Approve reversal request.,News reports on UPI scams
S0080,scam,SMS,fake_charity,Charity Drive: Send ₹149745 to support. Quick transfer: http://hdfc-kyc-update.com,RBI Cautions
S0081,scam,SMS,kyc_expiry,Kotak ALERT: KYC not updated. Update now to avoid account suspension: http://paytm-verify-upi.in,Razorpay Fake Payment Guide
S0082,scam,SMS,fake_app_update,Critical update for ICICI app. Click http://refund-claim.in to download secure patch.,RBI Cautions
S0083,scam,SMS,kyc_expiry,BOB ALERT: KYC not updated. Update now to avoid account suspension: http://axisbank-alerts.net,News reports on UPI scams
S0084,scam,SMS,kyc_expiry,PNB ALERT: KYC not updated. Update now to avoid account suspension: http://upi-helpdesk.support,Razorpay Fake Payment Guide
S0085,scam,SMS,fake_app_update,Critical update for ICICI app. Click http://phonepe-cashback-claim.co to download secure patch.,RBI Cautions
S0086,scam,SMS,fake_charity,Charity Drive: Send ₹180306 to support. Quick transfer: http://upi-helpdesk.support,RBI Cautions
S0087,scam,SMS,fake_bank_notice,Federal Bank: Important security update. Verify account details at http://lottery-claim-win.in to avoid restrictions.,NPCI Fraud Awareness
S0088,scam,SMS,fake_reward,Exclusive Reward: ₹151100 for you. Claim via http://govt-subsidy-claim.co.in within 1 hour.,RBI Cautions
S0089,scam,WhatsApp,fake_merchant_payment,Customer says payment done. Approve collect request to release order.,Razorpay Fake Payment Guide
S0090,scam,WhatsApp,fake_merchant_payment,Merchant: Paid ₹143688 to your UPI. Approve reversal request.,CERT-In advisory
S0091,scam,SMS,kyc_expiry,"Dear Customer, your Yes Bank UPI access will be blocked within 24 hours due to pending KYC. Verify here: http://hdfc-kyc-update.com",NPCI Fraud Awareness
S0092,scam,SMS,impersonation_police,"This is SI Sharma, cyber cell. Assets will be frozen unless you refund ₹81127. Contact +91-9919795579.",Razorpay Fake Payment Guide
S0093,scam,SMS,fake_charity,Charity Drive: Send ₹132374 to support. Quick transfer: http://hdfc-kyc-update.com,RBI Cautions
S0094,scam,SMS,fake_reward,Loyalty Bonus ₹36797 added. Visit http://icici-verify.co.in to redeem.,Razorpay Fake Payment Guide
S0095,scam,SMS,fake_reward,Loyalty Bonus ₹141761 added. Visit http://refund-claim.in to redeem.,Fintech safety blog
S0096,scam,SMS,lottery,RBI Lottery: You have won ₹65375. Pay registration fee ₹591 to claim: http://paytm-verify-upi.in,NPCI Fraud Awareness
S0097,scam,SMS,fake_bank_notice,IDBI: Important security update. Verify account details at http://paytm-verify-upi.in to avoid restrictions.,Razorpay Fake Payment Guide
S0098,scam,SMS,suspicious_login,SBI Alert: Suspicious login detected on your UPI. Cancel transaction here: http://icici-verify.co.in. Ref: 2532210,News reports on UPI scams
S0099,scam,SMS,vishing_text,Bank Security: We will call to verify. Keep your OTP handy to cancel fraudulent transaction.,News reports on UPI scams
S0100,scam,WhatsApp,fake_merchant_payment,Merchant: Paid ₹127449 to your UPI. Approve reversal request.,News reports on UPI scams
S0101,scam,SMS,vishing_text,Your card is blocked. Call back +91-XXXXXXXXXX to reactivate. Share OTP to verify.,RBI Cautions
S0102,scam,WhatsApp,fake_payment_screenshot,Payment done. UPI Ref 5970190. Screenshot attached. Release goods.,RBI Cautions
S0103,scam,SMS,fake_qr,Please scan this QR to receive your refund: http://phonepe-cashback-claim.co. Do not share PIN.,CERT-In advisory
S0104,scam,SMS,fake_cashback,You have received ₹46463 cashback from PhonePe. Claim now: http://refund-claim.in (valid 2 hrs),CERT-In advisory
S0105,scam,WhatsApp,fake_merchant_payment,Merchant: Paid ₹57118 to your UPI. Approve reversal request.,Fintech safety blog
S0106,scam,SMS,lottery,Congratulations! Govt prize of ₹82278 for you. Complete form at http://upi-helpdesk.support within 48 hrs.,Paytm UPI Fraud Guide
S0107,scam,WhatsApp,fake_payment_screenshot,See attached receipt: Transaction ID 4020853. Funds sent.,Razorpay Fake Payment Guide
S0108,scam,SMS,fake_charity,Urgent Flood Relief: Donate ₹172376 to help victims. Transfer to foodcart@axis via UPI.,RBI Cautions
S0109,scam,SMS,fake_loan_fee,Pre-approved loan ₹55120. Disbursal in 5 mins after processing fee ₹703. Pay at http://govt-subsidy-claim.co.in,Paytm UPI Fraud Guide
S0110,scam,SMS,suspicious_login,Unusual activity on your account. Verify identity at http://axisbank-alerts.net to avoid freeze.,CERT-In advisory
S0111,scam,SMS,impersonation_police,Police Notice: Investigation ongoing. Transfer ₹196168 to avoid arrest.,RBI Cautions
S0112,scam,SMS,fake_reward,Exclusive Reward: ₹121853 for you. Claim via http://sbi-secure-verify.in within 1 hour.,RBI Cautions
S0113,scam,SMS,suspicious_login,HDFC Alert: Suspicious login detected on your UPI. Cancel transaction here: http://sbi-secure-verify.in. Ref: 6423634,Fintech safety blog
S0114,scam,SMS,fake_bank_notice,IDBI Notice: Confirm your details here: http://sbi-secure-verify.in.,Fintech safety blog
S0115,scam,SMS,fake_qr,Scan QR to accept payment: http://govt-subsidy-claim.co.in. For merchants only.,RBI Cautions
S0116,scam,SMS,suspicious_login,Yes Bank Alert: Suspicious login detected on your UPI. Cancel transaction here: http://govt-subsidy-claim.co.in. Ref: 4700025,Paytm UPI Fraud Guide
S0117,scam,SMS,fake_support,Support Desk: We require confirmation. Click http://axisbank-alerts.net to confirm your identity.,CERT-In advisory
S0118,scam,WhatsApp,refund_bait,Refund Dept: ₹39123 credited to your account by mistake. Approve reversal now via this request: http://refund-claim.in,RBI Cautions
S0119,scam,WhatsApp,overpayment,You have received ₹449. Please send back ₹7249 immediately by approving the UPI request from foodcart@axis.,NPCI Fraud Awareness
S0120,scam,SMS,suspicious_login,Yes Bank Alert: Suspicious login detected on your UPI. Cancel transaction here: http://lottery-claim-win.in. Ref: 8736811,News reports on UPI scams
S0121,scam,WhatsApp,fake_merchant_payment,Merchant: Paid ₹188603 to your UPI. Approve reversal request.,NPCI Fraud Awareness
S0122,scam,WhatsApp,fake_payment_screenshot,Payment done. UPI Ref 7784725. Screenshot attached. Release goods.,Razorpay Fake Payment Guide
S0123,scam,SMS,fake_loan_fee,Pre-approved loan ₹139695. Disbursal in 5 mins after processing fee ₹574. Pay at http://upi-helpdesk.support,News reports on UPI scams
S0124,scam,SMS,fake_bank_notice,PNB Notice: Confirm your details here: http://sbi-secure-verify.in.,News reports on UPI scams
S0125,scam,SMS,fake_support,Support Desk: We require confirmation. Click http://phonepe-cashback-claim.co to confirm your identity.,CERT-In advisory
S0126,scam,SMS,suspicious_login,ICICI Alert: Suspicious login detected on your UPI. Cancel transaction here: http://upi-secure-help.in. Ref: 8987516,Paytm UPI Fraud Guide
S0127,scam,SMS,lottery,RBI Lottery: You have won ₹155899. Pay registration fee ₹308 to claim: http://upi-secure-help.in,RBI Cautions
S0128,scam,SMS,fake_bill_disconnection,Fiber Net: Payment overdue ₹197146. Pay now: http://govt-subsidy-claim.co.in or service suspended.,NPCI Fraud Awareness
S0129,scam,SMS,fake_bank_notice,BOB Notice: Confirm your details here: http://sbi-secure-verify.in.,RBI Cautions
S0130,scam,WhatsApp,fake_merchant_payment,Merchant: Paid ₹15420 to your UPI. Approve reversal request.,RBI Cautions
S0131,scam,SMS,fake_bill_disconnection,Fiber Net: Payment overdue ₹145385. Pay now: http://upi-secure-help.in or service suspended.,Fintech safety blog
S0132,scam,SMS,impersonation_police,"This is SI Sharma, cyber cell. Assets will be frozen unless you refund ₹57118. Contact +91-9398704996.",CERT-In advisory
S0133,scam,SMS,vishing_text,Your card is blocked. Call back +91-XXXXXXXXXX to reactivate. Share OTP to verify.,Fintech safety blog
S0134,scam,SMS,fake_cashback,Cashback ₹143671 credited. Click http://icici-verify.co.in to transfer to bank.,News reports on UPI scams
S0135,scam,SMS,suspicious_login,Unusual activity on your account. Verify identity at http://upi-secure-help.in to avoid freeze.,RBI Cautions
S0136,scam,SMS,fake_reward,Exclusive Reward: ₹96919 for you. Claim via http://upi-helpdesk.support within 1 hour.,CERT-In advisory
S0137,scam,SMS,fake_bill_disconnection,Fiber Net: Payment overdue ₹25716. Pay now: http://phonepe-cashback-claim.co or service suspended.,Razorpay Fake Payment Guide
S0138,scam,WhatsApp,overpayment,You have received ₹283. Please send back ₹34201 immediately by approving the UPI request from merchantx@ybl.,NPCI Fraud Awareness
S0139,scam,SMS,call_merge_otp,"Security Alert: We will merge a verification call. When prompted, share OTP to confirm cancellation.",News reports on UPI scams
S0140,scam,SMS,fake_support,Support Desk: We require confirmation. Click http://hdfc-kyc-update.com to confirm your identity.,News reports on UPI scams
S0141,scam,WhatsApp,fake_merchant_payment,Merchant: Paid ₹78530 to your UPI. Approve reversal request.,Paytm UPI Fraud Guide
S0142,scam,SMS,kyc_expiry,ICICI ALERT: KYC not updated. Update now to avoid account suspension: http://upi-secure-help.in,Paytm UPI Fraud Guide
S0143,scam,SMS,vishing_text,Your card is blocked. Call back +91-XXXXXXXXXX to reactivate. Share OTP to verify.,NPCI Fraud Awareness
S0144,scam,WhatsApp,fake_payment_screenshot,Payment done. UPI Ref 4342306. Screenshot attached. Release goods.,Fintech safety blog
S0145,scam,SMS,suspicious_login,Federal Bank Alert: Suspicious login detected on your UPI. Cancel transaction here: http://icici-verify.co.in. Ref: 8630712,RBI Cautions
S0146,scam,SMS,fake_govt_subsidy,PMAY Subsidy: ₹87130 approved. Click http://sbi-secure-verify.in to accept.,Razorpay Fake Payment Guide
S0147,scam,SMS,kyc_expiry,"Dear Customer, your Axis Bank UPI access will be blocked within 24 hours due to pending KYC. Verify here: http://upi-secure-help.in",CERT-In advisory
S0148,scam,SMS,fake_reward,Exclusive Reward: ₹2100 for you. Claim via http://pay-verify-upi.com within 1 hour.,Fintech safety blog
S0149,scam,SMS,vishing_text,Your card is blocked. Call back +91-XXXXXXXXXX to reactivate. Share OTP to verify.,RBI Cautions
S0150,scam,WhatsApp,fake_payment_screenshot,Payment done. UPI Ref 2903561. Screenshot attached. Release goods.,RBI Cautions
S0151,scam,SMS,fake_app_update,Critical update for BOB app. Click http://paytm-verify-upi.in to download secure patch.,News reports on UPI scams
S0152,scam,SMS,fake_govt_subsidy,Govt Subsidy credited ₹111088. Claim at http://upi-secure-help.in before deadline.,Paytm UPI Fraud Guide
S0153,scam,SMS,kyc_expiry,HDFC ALERT: KYC not updated. Update now to avoid account suspension: http://axisbank-alerts.net,Fintech safety blog
S0154,scam,SMS,impersonation_police,Police Notice: Investigation ongoing. Transfer ₹180894 to avoid arrest.,NPCI Fraud Awareness
S0155,scam,SMS,fake_qr,Please scan this QR to receive your refund: http://upi-secure-help.in. Do not share PIN.,News reports on UPI scams
S0156,scam,SMS,lottery,RBI Lottery: You have won ₹147088. Pay registration fee ₹1655 to claim: http://govt-subsidy-claim.co.in,RBI Cautions
S0157,scam,SMS,fake_bill_disconnection,Electricity Dept: Bill ₹79353 pending. Service will be disconnected tonight. Pay at http://upi-secure-help.in,CERT-In advisory
S0158,scam,SMS,lottery,RBI Lottery: You have won ₹152248. Pay registration fee ₹1348 to claim: http://upi-helpdesk.support,News reports on UPI scams
S0159,scam,SMS,fake_loan_fee,Pre-approved loan ₹105897. Disbursal in 5 mins after processing fee ₹1321. Pay at http://sbi-secure-verify.in,Paytm UPI Fraud Guide
S0160,scam,WhatsApp,fake_payment_screenshot,See attached receipt: Transaction ID 6797629. Funds sent.,NPCI Fraud Awareness
S0161,scam,SMS,fake_qr,Please scan this QR to receive your refund: http://axisbank-alerts.net. Do not share PIN.,RBI Cautions
S0162,scam,WhatsApp,fake_merchant_payment,Customer says payment done. Approve collect request to release order.,Paytm UPI Fraud Guide
S0163,scam,SMS,call_merge_otp,"To cancel unauthorized charge, accept incoming verification call and provide OTP.",Fintech safety blog
S0164,scam,SMS,call_merge_otp,"Security Alert: We will merge a verification call. When prompted, share OTP to confirm cancellation.",CERT-In advisory
S0165,scam,WhatsApp,fake_payment_screenshot,See attached receipt: Transaction ID 9349470. Funds sent.,Fintech safety blog
S0166,scam,WhatsApp,refund_bait,Refund Dept: ₹139079 credited to your account by mistake. Approve reversal now via this request: http://phonepe-cashback-claim.co,Razorpay Fake Payment Guide
S0167,scam,SMS,fake_cashback,You have received ₹176128 cashback from PhonePe. Claim now: http://icici-verify.co.in (valid 2 hrs),Fintech safety blog
S0168,scam,SMS,fake_govt_subsidy,Govt Subsidy credited ₹114359. Claim at http://phonepe-cashback-claim.co before deadline.,NPCI Fraud Awareness
S0169,scam,SMS,kyc_expiry,"Dear Customer, your IDBI UPI access will be blocked within 24 hours due to pending KYC. Verify here: http://hdfc-kyc-update.com",NPCI Fraud Awareness
S0170,scam,SMS,vishing_text,Bank Security: We will call to verify. Keep your OTP handy to cancel fraudulent transaction.,CERT-In advisory
S0171,scam,SMS,lottery,RBI Lottery: You have won ₹17718. Pay registration fee ₹1412 to claim: http://pay-verify-upi.com,News reports on UPI scams
S0172,scam,WhatsApp,fake_merchant_payment,Merchant: Paid ₹74757 to your UPI. Approve reversal request.,Razorpay Fake Payment Guide
S0173,scam,SMS,fake_bank_notice,Axis Bank Notice: Confirm your details here: http://hdfc-kyc-update.com.,Razorpay Fake Payment Guide
S0174,scam,SMS,vishing_text,Bank Security: We will call to verify. Keep your OTP handy to cancel fraudulent transaction.,News reports on UPI scams
S0175,scam,WhatsApp,fake_payment_screenshot,Payment done. UPI Ref 6709938. Screenshot attached. Release goods.,Fintech safety blog
S0176,scam,WhatsApp,refund_bait,Refund Dept: ₹25716 credited to your account by mistake. Approve reversal now via this request: http://refund-claim.in,NPCI Fraud Awareness
S0177,scam,SMS,call_merge_otp,"To cancel unauthorized charge, accept incoming verification call and provide OTP.",Razorpay Fake Payment Guide
S0178,scam,WhatsApp,overpayment,"Hi, I accidentally sent ₹120 to you. Please accept the payment and return ₹3610 by approving the request.",CERT-In advisory
S0179,scam,SMS,fake_support,Support Desk: We require confirmation. Click http://refund-claim.in to confirm your identity.,News reports on UPI scams
S0180,scam,SMS,fake_loan_fee,Loan approved: ₹24245. Pay ₹1753 to unlock funds via http://upi-secure-help.in,Paytm UPI Fraud Guide
S0181,scam,SMS,fake_support,"Customer Support: To expedite refund, visit http://upi-helpdesk.support and enter UPI ID.",Razorpay Fake Payment Guide
S0182,scam,SMS,lottery,Congratulations! Govt prize of ₹192919 for you. Complete form at http://paytm-verify-upi.in within 48 hrs.,NPCI Fraud Awareness
S0183,scam,SMS,fake_loan_fee,Pre-approved loan ₹87489. Disbursal in 5 mins after processing fee ₹629. Pay at http://lottery-claim-win.in,RBI Cautions
S0184,scam,SMS,fake_qr,Please scan this QR to receive your refund: http://pay-verify-upi.com. Do not share PIN.,NPCI Fraud Awareness
S0185,scam,SMS,impersonation_police,Police Notice: Investigation ongoing. Transfer ₹166311 to avoid arrest.,Paytm UPI Fraud Guide
S0186,scam,SMS,lottery,RBI Lottery: You have won ₹159687. Pay registration fee ₹599 to claim: http://upi-helpdesk.support,Paytm UPI Fraud Guide
S0187,scam,SMS,fake_support,"Customer Support: To expedite refund, visit http://sbi-secure-verify.in and enter UPI ID.",Paytm UPI Fraud Guide
S0188,scam,SMS,suspicious_login,Unusual activity on your account. Verify identity at http://upi-secure-help.in to avoid freeze.,RBI Cautions
S0189,scam,SMS,fake_app_update,Update required: Your UPI app version is outdated. Update now at http://hdfc-kyc-update.com to continue transactions.,Razorpay Fake Payment Guide
S0190,scam,SMS,kyc_expiry,Axis Bank ALERT: KYC not updated. Update now to avoid account suspension: http://upi-secure-help.in,Paytm UPI Fraud Guide
S0191,scam,WhatsApp,fake_merchant_payment,Customer says payment done. Approve collect request to release order.,Razorpay Fake Payment Guide
S0192,scam,SMS,kyc_expiry,"Dear Customer, your Federal Bank UPI access will be blocked within 24 hours due to pending KYC. Verify here: http://pay-verify-upi.com",Fintech safety blog
S0193,scam,SMS,fake_support,Support Desk: We require confirmation. Click http://axisbank-alerts.net to confirm your identity.,Paytm UPI Fraud Guide
S0194,scam,WhatsApp,overpayment,"Hi, I accidentally sent ₹468 to you. Please accept the payment and return ₹25411 by approving the request.",NPCI Fraud Awareness
S0195,scam,SMS,fake_app_update,Update required: Your UPI app version is outdated. Update now at http://hdfc-kyc-update.com to continue transactions.,Paytm UPI Fraud Guide
S0196,scam,SMS,fake_qr,Scan QR to accept payment: http://upi-helpdesk.support. For merchants only.,RBI Cautions
S0197,scam,SMS,fake_loan_fee,Pre-approved loan ₹79353. Disbursal in 5 mins after processing fee ₹931. Pay at http://hdfc-kyc-update.com,Paytm UPI Fraud Guide
S0198,scam,SMS,fake_cashback,Cashback ₹174075 credited. Click http://lottery-claim-win.in to transfer to bank.,Fintech safety blog
S0199,scam,SMS,fake_bank_notice,Axis Bank: Important security update. Verify account details at http://pay-verify-upi.com to avoid restrictions.,NPCI Fraud Awareness
S0200,scam,WhatsApp,fake_payment_screenshot,See attached receipt: Transaction ID 3955087. Funds sent.,NPCI Fraud Awareness
S0201,scam,SMS,fake_charity,Urgent Flood Relief: Donate ₹124642 to help victims. Transfer to shopkeeper@okicici via UPI.,Razorpay Fake Payment Guide
