text,source,type,label,category
"Received ₹200 in error. Please send ₹20,000 now by approving the UPI request from randomid@upi.",https://m.economictimes.com/wealth/save/new-upi-scam-fraudsters-send-you-rs-200-00-and-asks-to-return-rs-20000-00-how-to-protect-yourself-from-upi-overpayment-scam/articleshow/110815938.cms,WhatsApp,scam,overpayment
Payment done. UPI Ref: 9823746123. Check screenshot attached. Release goods now.,https://razorpay.com/learn/fake-payment-screenshot-scam/,SMS,scam,fake_screenshot
"RBI LOTTERY 2025: You have won ₹10,00,000. Pay ₹1,999 registration to receive funds. http://rbilottery-verify.in",https://www.rbi.org.in/commonman/english/scripts/PressReleases.aspx?Id=2440,SMS,scam,lottery
Bank Security: We will merge a verification call. Keep your line active and share OTP to cancel fraudulent transaction.,https://timesofindia.indiatimes.com/technology/tech-news/call-merging-scam-what-is-the-new-fraud-that-npci-has-warned-about/articleshow/118444907.cms,WhatsApp,scam,call_merge_otp
"Axis Bank: Pre-approved loan ₹2,00,000. Get disbursed in 5 mins after processing fee ₹799. http://axisloan-fast.in",General phishing pattern; RBI awareness week coverage,SMS,scam,loan_fee
Electricity Dept: Bill pending. Disconnection tonight. Pay now: http://powerbill-upi.in Helpline: +91-9876543210,Common utility bill scam pattern (media reports),WhatsApp,scam,power_bill
"Your a/c credited ₹50,000. Refund excess ₹49,500 immediately via UPI link.",https://timesofindia.indiatimes.com/city/vadodara/senior-citizen-outwits-conmen-using-fake-credit-sms-trick/articleshow/122054377.cms,SMS,scam,fake_credit_sms
"dbox: Fifth Cohort on Theme ‘Neutral’ –– ExitCompliance with Hon’ble Supreme Court Order dated April 30, 2025 in the matter of Pragya Prasun and Ors",Banking SMS Examples,banking,suspicious,web_scraped
"HDFC: Your credit card payment of ₹15,000 received. Thank you. -HDFCBNK",Synthetic - Complementary,banking,safe,complementary_legitimate
"Axis Bank: Your FD of ₹100,000 has matured. Amount credited to your account. -AXISBNK",Synthetic - Complementary,banking,safe,complementary_legitimate
"PNB: Your cheque for ₹25,000 has been cleared. Available balance: ₹75,000. -PNBBNK",Synthetic - Complementary,banking,safe,complementary_legitimate
"Canara Bank: Your loan EMI of ₹8,500 has been debited. Next EMI due: 15th Dec. -CANARABK",Synthetic - Complementary,banking,safe,complementary_legitimate
Union Bank: Your account statement is ready. Download from mobile app. -UNIONBNK,Synthetic - Complementary,banking,safe,complementary_legitimate
Deutsche Bank: Welcome! Your account has been activated successfully. -DEUTBNK,Synthetic - Complementary,banking,safe,complementary_legitimate
"Kotak Bank: Your UPI transaction of ₹2,500 to merchant@upi successful. -KOTAKBNK",Synthetic - Complementary,banking,safe,complementary_legitimate
Yes Bank: Your mobile banking registration is complete. -YESBNK,Synthetic - Complementary,banking,safe,complementary_legitimate
IDFC Bank: Your account verification is successful. Welcome aboard! -IDFCBNK,Synthetic - Complementary,banking,safe,complementary_legitimate
Amazon: Your order #12345 has been cancelled. Click here to reactivate: amzn-order-verify.com,Synthetic - Complementary,scam,scam,complementary_scam
PayPal: Account suspended due to suspicious activity. Verify now: paypal-secure-verify.com,Synthetic - Complementary,scam,scam,complementary_scam
Netflix: Payment failed. Update payment method: netflix-payment-update.com,Synthetic - Complementary,scam,scam,complementary_scam
Google: Your account will be deleted in 24 hours. Verify now: google-account-verify.com,Synthetic - Complementary,scam,scam,complementary_scam
Microsoft: Unusual login detected. Secure your account: microsoft-secure-verify.com,Synthetic - Complementary,scam,scam,complementary_scam
Apple: Your iCloud storage is full. Upgrade now: apple-storage-upgrade.com,Synthetic - Complementary,scam,scam,complementary_scam
WhatsApp: Your number will be banned. Verify now: whatsapp-verify-account.com,Synthetic - Complementary,scam,scam,complementary_scam
Telegram: Account suspended. Appeal here: telegram-appeal-verify.com,Synthetic - Complementary,scam,scam,complementary_scam
Instagram: Your account has been reported. Verify identity: instagram-verify-id.com,Synthetic - Complementary,scam,scam,complementary_scam
