id,label,channel,category,text,pattern_source
90,scam,WhatsApp,Fake Loan,Your HDFC debit card has been blocked. Click http://securebanking.co.in to unblock immediately.,synthetic_generated
91,scam,SMS,Overpayment,Fake receipt generated of Rs 10755. Confirm immediately: http://kyc-update.com,synthetic_generated
92,scam,WhatsApp,Govt Subsidy,Your ICICI debit card has been blocked. Click http://refund-portal.org to unblock immediately.,synthetic_generated
93,scam,WhatsApp,Cashback Scam,Get free cashback Rs 37255 on UPI. Claim offer: http://govt-subsidy.in,synthetic_generated
94,scam,SMS,Refund Fraud,Your Axis debit card has been blocked. Click http://upi-helpdesk.net to unblock immediately.,synthetic_generated
95,scam,SMS,Impersonation,Loan approved Rs 48765. Pay processing fee Rs 500 at http://secure-upi.co.in,synthetic_generated
96,scam,SMS,Lottery Scam,PAN KYC verification failed. Update here http://securebanking.co.in,synthetic_generated
97,scam,SMS,Overpayment,Loan approved Rs 38434. Pay processing fee Rs 500 at http://kyc-update.com,synthetic_generated
98,scam,SMS,Fake QR,Pay Rs 42135 penalty to avoid FIR. Complete UPI payment at http://govt-subsidy.in,synthetic_generated
99,scam,SMS,Fake QR,Pay Rs 6522 penalty to avoid FIR. Complete UPI payment at http://upi-verify.in,synthetic_generated
100,scam,SMS,Govt Subsidy,Congratulations! You won Rs 27139 lottery. Claim via UPI now: http://npci-update.com,synthetic_generated
101,scam,SMS,Refund Fraud,Fake receipt generated of Rs 16636. Confirm immediately: http://secure-upi.co.in,synthetic_generated
102,scam,WhatsApp,Refund Fraud,Your ICICI debit card has been blocked. Click http://instant-claim.co to unblock immediately.,synthetic_generated
103,scam,SMS,Refund Fraud,You have received Rs 43811 in your HDFC account. Click http://securebanking.co.in to claim instantly.,synthetic_generated
104,scam,SMS,Govt Subsidy,Govt subsidy Rs 926 credited. Verify UPI ID at http://upi-helpdesk.net,synthetic_generated
105,scam,SMS,Account Block,Get free cashback Rs 6936 on UPI. Claim offer: http://govt-subsidy.in,synthetic_generated
106,scam,WhatsApp,KYC Update,Your KYC for PNB is expiring today. Update now to avoid suspension: http://upi-helpdesk.net,synthetic_generated
107,scam,WhatsApp,Fake Loan,Loan approved Rs 41160. Pay processing fee Rs 500 at http://upi-helpdesk.net,synthetic_generated
108,scam,WhatsApp,Lottery Scam,Loan approved Rs 20403. Pay processing fee Rs 500 at http://upi-helpdesk.net,synthetic_generated
109,scam,WhatsApp,Cashback Scam,Refund of Rs 28093 is pending. Confirm your UPI ID here: http://upi-verify.in,synthetic_generated
110,scam,WhatsApp,Cashback Scam,PAN KYC verification failed. Update here http://instant-claim.co,synthetic_generated
111,scam,SMS,Fake Loan,Get free cashback Rs 27560 on UPI. Claim offer: http://kyc-update.com,synthetic_generated
112,scam,SMS,Cashback Scam,Your electricity bill Rs 37798 unpaid. Pay now via http://upi-helpdesk.net to avoid disconnection.,synthetic_generated
113,scam,WhatsApp,Fake Loan,Loan approved Rs 9751. Pay processing fee Rs 500 at http://upi-verify.in,synthetic_generated
114,scam,SMS,Govt Subsidy,Get free cashback Rs 20832 on UPI. Claim offer: http://upi-verify.in,synthetic_generated
115,scam,WhatsApp,Lottery Scam,Congratulations! You won Rs 39697 lottery. Claim via UPI now: http://kyc-update.com,synthetic_generated
116,scam,WhatsApp,Refund Fraud,Your Kotak debit card has been blocked. Click http://refund-portal.org to unblock immediately.,synthetic_generated
117,scam,SMS,KYC Update,Fake receipt generated of Rs 40079. Confirm immediately: http://upi-verify.in,synthetic_generated
118,scam,WhatsApp,Overpayment,You have received Rs 32432 in your PNB account. Click http://upi-verify.in to claim instantly.,synthetic_generated
119,scam,WhatsApp,Fake Loan,PAN KYC verification failed. Update here http://secure-upi.co.in,synthetic_generated
120,scam,WhatsApp,Cashback Scam,Congratulations! You won Rs 480 lottery. Claim via UPI now: http://govt-subsidy.in,synthetic_generated
121,scam,SMS,Fake QR,PAN KYC verification failed. Update here http://refund-portal.org,synthetic_generated
122,scam,WhatsApp,Impersonation,Pay Rs 48731 penalty to avoid FIR. Complete UPI payment at http://securebanking.co.in,synthetic_generated
123,scam,WhatsApp,Govt Subsidy,Pay Rs 5240 penalty to avoid FIR. Complete UPI payment at http://instant-claim.co,synthetic_generated
124,scam,SMS,Lottery Scam,Get free cashback Rs 12938 on UPI. Claim offer: http://upi-helpdesk.net,synthetic_generated
125,scam,SMS,Lottery Scam,Suspicious login detected on your Kotak UPI account. Secure now: http://govt-subsidy.in,synthetic_generated
126,scam,SMS,Lottery Scam,Get free cashback Rs 4727 on UPI. Claim offer: http://instant-claim.co,synthetic_generated
127,scam,WhatsApp,KYC Update,Loan approved Rs 9825. Pay processing fee Rs 500 at http://secure-upi.co.in,synthetic_generated
128,scam,SMS,Impersonation,Get free cashback Rs 34485 on UPI. Claim offer: http://securebanking.co.in,synthetic_generated
129,scam,WhatsApp,Govt Subsidy,Your electricity bill Rs 14425 unpaid. Pay now via http://secure-upi.co.in to avoid disconnection.,synthetic_generated
130,scam,WhatsApp,Cashback Scam,Govt subsidy Rs 44822 credited. Verify UPI ID at http://kyc-update.com,synthetic_generated
131,scam,WhatsApp,Refund Fraud,Get free cashback Rs 44113 on UPI. Claim offer: http://upi-verify.in,synthetic_generated
132,scam,SMS,Govt Subsidy,PAN KYC verification failed. Update here http://govt-subsidy.in,synthetic_generated
133,scam,WhatsApp,Cashback Scam,Loan approved Rs 17088. Pay processing fee Rs 500 at http://secure-upi.co.in,synthetic_generated
134,scam,SMS,Cashback Scam,Your KYC for ICICI is expiring today. Update now to avoid suspension: http://kyc-update.com,synthetic_generated
135,scam,WhatsApp,Account Block,Loan approved Rs 7156. Pay processing fee Rs 500 at http://instant-claim.co,synthetic_generated
136,scam,WhatsApp,Overpayment,Your KYC for ICICI is expiring today. Update now to avoid suspension: http://govt-subsidy.in,synthetic_generated
137,scam,SMS,Overpayment,Your electricity bill Rs 35661 unpaid. Pay now via http://refund-portal.org to avoid disconnection.,synthetic_generated
138,scam,SMS,Lottery Scam,Govt subsidy Rs 10317 credited. Verify UPI ID at http://npci-update.com,synthetic_generated
139,scam,WhatsApp,Fake QR,"Dear customer, your ICICI UPI account will be blocked in 24 hrs. Verify now: http://kyc-update.com",synthetic_generated
140,scam,WhatsApp,Fake QR,Suspicious login detected on your PNB UPI account. Secure now: http://kyc-update.com,synthetic_generated
141,scam,SMS,Fake Loan,Pay Rs 39237 penalty to avoid FIR. Complete UPI payment at http://refund-portal.org,synthetic_generated
142,scam,SMS,Fake QR,Suspicious login detected on your BOB UPI account. Secure now: http://kyc-update.com,synthetic_generated
143,scam,SMS,Fake QR,Congratulations! You won Rs 18584 lottery. Claim via UPI now: http://kyc-update.com,synthetic_generated
144,scam,WhatsApp,KYC Update,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
145,scam,WhatsApp,Impersonation,Suspicious login detected on your HDFC UPI account. Secure now: http://refund-portal.org,synthetic_generated
146,scam,SMS,Govt Subsidy,Suspicious login detected on your ICICI UPI account. Secure now: http://secure-upi.co.in,synthetic_generated
147,scam,SMS,KYC Update,"Dear customer, your Kotak UPI account will be blocked in 24 hrs. Verify now: http://secure-upi.co.in",synthetic_generated
148,scam,WhatsApp,Govt Subsidy,Govt subsidy Rs 35894 credited. Verify UPI ID at http://kyc-update.com,synthetic_generated
149,scam,WhatsApp,Fake Loan,Fake receipt generated of Rs 9095. Confirm immediately: http://upi-helpdesk.net,synthetic_generated
150,scam,WhatsApp,Fake QR,Suspicious login detected on your Axis UPI account. Secure now: http://refund-portal.org,synthetic_generated
151,scam,WhatsApp,Overpayment,Pay Rs 42637 penalty to avoid FIR. Complete UPI payment at http://secure-upi.co.in,synthetic_generated
152,scam,SMS,Cashback Scam,Refund of Rs 33227 is pending. Confirm your UPI ID here: http://refund-portal.org,synthetic_generated
153,scam,SMS,KYC Update,PAN KYC verification failed. Update here http://instant-claim.co,synthetic_generated
154,scam,SMS,Fake Loan,"Dear customer, your PNB UPI account will be blocked in 24 hrs. Verify now: http://kyc-update.com",synthetic_generated
155,scam,WhatsApp,Fake QR,Govt subsidy Rs 34084 credited. Verify UPI ID at http://secure-upi.co.in,synthetic_generated
156,scam,SMS,Fake QR,Get free cashback Rs 18395 on UPI. Claim offer: http://securebanking.co.in,synthetic_generated
157,scam,SMS,Cashback Scam,Your electricity bill Rs 11301 unpaid. Pay now via http://refund-portal.org to avoid disconnection.,synthetic_generated
158,scam,WhatsApp,Refund Fraud,Your electricity bill Rs 33745 unpaid. Pay now via http://securebanking.co.in to avoid disconnection.,synthetic_generated
159,scam,WhatsApp,Govt Subsidy,"Dear customer, your HDFC UPI account will be blocked in 24 hrs. Verify now: http://upi-helpdesk.net",synthetic_generated
160,scam,WhatsApp,Account Block,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
161,scam,WhatsApp,Overpayment,Refund of Rs 13355 is pending. Confirm your UPI ID here: http://upi-verify.in,synthetic_generated
162,scam,SMS,Account Block,Pay Rs 8009 penalty to avoid FIR. Complete UPI payment at http://govt-subsidy.in,synthetic_generated
163,scam,SMS,Govt Subsidy,You have received Rs 42790 in your Axis account. Click http://kyc-update.com to claim instantly.,synthetic_generated
164,scam,WhatsApp,Govt Subsidy,Pay Rs 31879 penalty to avoid FIR. Complete UPI payment at http://refund-portal.org,synthetic_generated
165,scam,WhatsApp,Impersonation,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
166,scam,SMS,Lottery Scam,Govt subsidy Rs 42556 credited. Verify UPI ID at http://govt-subsidy.in,synthetic_generated
167,scam,WhatsApp,Fake Loan,Get free cashback Rs 30753 on UPI. Claim offer: http://govt-subsidy.in,synthetic_generated
168,scam,WhatsApp,Impersonation,Your electricity bill Rs 40301 unpaid. Pay now via http://npci-update.com to avoid disconnection.,synthetic_generated
169,scam,SMS,Govt Subsidy,Pay Rs 3345 penalty to avoid FIR. Complete UPI payment at http://npci-update.com,synthetic_generated
170,scam,WhatsApp,Impersonation,Suspicious login detected on your BOB UPI account. Secure now: http://instant-claim.co,synthetic_generated
171,scam,SMS,Overpayment,Your electricity bill Rs 35564 unpaid. Pay now via http://refund-portal.org to avoid disconnection.,synthetic_generated
172,scam,WhatsApp,Cashback Scam,Your KYC for SBI is expiring today. Update now to avoid suspension: http://govt-subsidy.in,synthetic_generated
173,scam,WhatsApp,Refund Fraud,Pay Rs 37531 penalty to avoid FIR. Complete UPI payment at http://npci-update.com,synthetic_generated
174,scam,WhatsApp,Fake QR,Govt subsidy Rs 27606 credited. Verify UPI ID at http://upi-verify.in,synthetic_generated
175,scam,SMS,Lottery Scam,Govt subsidy Rs 19053 credited. Verify UPI ID at http://npci-update.com,synthetic_generated
176,scam,WhatsApp,Impersonation,"Dear customer, your ICICI UPI account will be blocked in 24 hrs. Verify now: http://kyc-update.com",synthetic_generated
177,scam,SMS,Impersonation,Loan approved Rs 29746. Pay processing fee Rs 500 at http://npci-update.com,synthetic_generated
178,scam,SMS,Overpayment,Pay Rs 28496 penalty to avoid FIR. Complete UPI payment at http://upi-helpdesk.net,synthetic_generated
179,scam,WhatsApp,KYC Update,Congratulations! You won Rs 32923 lottery. Claim via UPI now: http://instant-claim.co,synthetic_generated
180,scam,SMS,Govt Subsidy,"Dear customer, your SBI UPI account will be blocked in 24 hrs. Verify now: http://kyc-update.com",synthetic_generated
181,scam,SMS,Refund Fraud,Congratulations! You won Rs 37477 lottery. Claim via UPI now: http://npci-update.com,synthetic_generated
182,scam,SMS,Refund Fraud,Your KYC for HDFC is expiring today. Update now to avoid suspension: http://upi-helpdesk.net,synthetic_generated
183,scam,SMS,KYC Update,"Dear customer, your Axis UPI account will be blocked in 24 hrs. Verify now: http://refund-portal.org",synthetic_generated
184,scam,WhatsApp,Lottery Scam,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
185,scam,SMS,Fake Loan,"Dear customer, your PNB UPI account will be blocked in 24 hrs. Verify now: http://instant-claim.co",synthetic_generated
186,scam,SMS,Lottery Scam,You have received Rs 1401 in your ICICI account. Click http://secure-upi.co.in to claim instantly.,synthetic_generated
187,scam,WhatsApp,KYC Update,Pay Rs 40580 penalty to avoid FIR. Complete UPI payment at http://instant-claim.co,synthetic_generated
188,scam,SMS,Govt Subsidy,Congratulations! You won Rs 46614 lottery. Claim via UPI now: http://upi-verify.in,synthetic_generated
189,scam,SMS,Account Block,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
190,scam,WhatsApp,Cashback Scam,You have received Rs 22608 in your SBI account. Click http://refund-portal.org to claim instantly.,synthetic_generated
191,scam,SMS,KYC Update,Govt subsidy Rs 40493 credited. Verify UPI ID at http://npci-update.com,synthetic_generated
192,scam,WhatsApp,Account Block,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
193,scam,SMS,Fake Loan,You have received Rs 47232 in your Kotak account. Click http://secure-upi.co.in to claim instantly.,synthetic_generated
194,scam,SMS,Fake Loan,PAN KYC verification failed. Update here http://securebanking.co.in,synthetic_generated
195,scam,SMS,Impersonation,Pay Rs 7619 penalty to avoid FIR. Complete UPI payment at http://upi-verify.in,synthetic_generated
196,scam,WhatsApp,Lottery Scam,Govt subsidy Rs 24130 credited. Verify UPI ID at http://upi-helpdesk.net,synthetic_generated
197,scam,WhatsApp,Refund Fraud,Get free cashback Rs 5549 on UPI. Claim offer: http://kyc-update.com,synthetic_generated
198,scam,WhatsApp,Overpayment,Pay Rs 12818 penalty to avoid FIR. Complete UPI payment at http://securebanking.co.in,synthetic_generated
199,scam,WhatsApp,Overpayment,PAN KYC verification failed. Update here http://kyc-update.com,synthetic_generated
200,scam,WhatsApp,Fake QR,Fake receipt generated of Rs 31347. Confirm immediately: http://upi-verify.in,synthetic_generated
201,scam,WhatsApp,Lottery Scam,Get free cashback Rs 34353 on UPI. Claim offer: http://npci-update.com,synthetic_generated
202,scam,SMS,KYC Update,"Dear customer, your SBI UPI account will be blocked in 24 hrs. Verify now: http://securebanking.co.in",synthetic_generated
203,scam,WhatsApp,KYC Update,Your electricity bill Rs 17684 unpaid. Pay now via http://instant-claim.co to avoid disconnection.,synthetic_generated
204,scam,WhatsApp,Fake QR,Govt subsidy Rs 18882 credited. Verify UPI ID at http://refund-portal.org,synthetic_generated
205,scam,WhatsApp,Cashback Scam,Fake receipt generated of Rs 40658. Confirm immediately: http://refund-portal.org,synthetic_generated
206,scam,SMS,Fake QR,Your KYC for Axis is expiring today. Update now to avoid suspension: http://upi-helpdesk.net,synthetic_generated
207,scam,WhatsApp,Overpayment,Get free cashback Rs 49335 on UPI. Claim offer: http://upi-helpdesk.net,synthetic_generated
208,scam,SMS,Fake QR,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
209,scam,SMS,Fake QR,Suspicious login detected on your PNB UPI account. Secure now: http://govt-subsidy.in,synthetic_generated
210,scam,WhatsApp,Account Block,You have received Rs 48735 in your SBI account. Click http://upi-helpdesk.net to claim instantly.,synthetic_generated
211,scam,SMS,Account Block,Fake receipt generated of Rs 5178. Confirm immediately: http://npci-update.com,synthetic_generated
212,scam,WhatsApp,KYC Update,"Dear customer, your Kotak UPI account will be blocked in 24 hrs. Verify now: http://securebanking.co.in",synthetic_generated
213,scam,WhatsApp,KYC Update,Your electricity bill Rs 28637 unpaid. Pay now via http://upi-verify.in to avoid disconnection.,synthetic_generated
214,scam,WhatsApp,KYC Update,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
215,scam,WhatsApp,Fake QR,Your PNB debit card has been blocked. Click http://upi-verify.in to unblock immediately.,synthetic_generated
216,scam,WhatsApp,Refund Fraud,Pay Rs 28909 penalty to avoid FIR. Complete UPI payment at http://npci-update.com,synthetic_generated
217,scam,WhatsApp,Govt Subsidy,Your UPI account is under verification. Provide OTP to continue.,synthetic_generated
218,scam,SMS,Impersonation,Your KYC for ICICI is expiring today. Update now to avoid suspension: http://securebanking.co.in,synthetic_generated
219,scam,WhatsApp,Refund Fraud,PAN KYC verification failed. Update here http://upi-helpdesk.net,synthetic_generated
220,scam,WhatsApp,Lottery Scam,Your electricity bill Rs 37141 unpaid. Pay now via http://npci-update.com to avoid disconnection.,synthetic_generated
221,scam,SMS,Govt Subsidy,Suspicious login detected on your BOB UPI account. Secure now: http://instant-claim.co,synthetic_generated
222,scam,WhatsApp,Impersonation,PAN KYC verification failed. Update here http://refund-portal.org,synthetic_generated
223,scam,WhatsApp,Fake Loan,"Dear customer, your ICICI UPI account will be blocked in 24 hrs. Verify now: http://securebanking.co.in",synthetic_generated
224,scam,SMS,KYC Update,Get free cashback Rs 47598 on UPI. Claim offer: http://upi-helpdesk.net,synthetic_generated
225,scam,WhatsApp,Overpayment,You have received Rs 39562 in your ICICI account. Click http://upi-verify.in to claim instantly.,synthetic_generated
226,scam,WhatsApp,Govt Subsidy,"Dear customer, your Axis UPI account will be blocked in 24 hrs. Verify now: http://govt-subsidy.in",synthetic_generated
227,scam,WhatsApp,KYC Update,You have received Rs 29529 in your BOB account. Click http://npci-update.com to claim instantly.,synthetic_generated
